,Unnamed: 0.1,Unnamed: 0,X,rouge1_precision,rouge2_precision,rougeL_precision,rouge1_recall,rouge2_recall,rougeL_recall,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,fkre,fkgl,fogi,smog,cole,auto,t_word,t_stopword,t_punct,t_syll,t_syll2,t_syll3,t_uword,t_sent,t_char,t_kup,t_bry,t_subtlex_us_zipf,t_n_ent_law,summary_generated,align_score,summary,bertscore_p,bertscore_r,bertscore_f1,summac
0,0,0,0,0.716346153846154,0.429951690821256,0.466346153846154,0.476038338658147,0.28525641025641,0.309904153354633,0.571976967370442,0.342967244701349,0.37236084452975,36.141,13.96,19.629,9.71,14.694,15.578,250,79,42,362,54,26,110,9,1166,830.66,712.949,964.206,0,"Amends the Water Resources Development Act of 1992 to authorize appropriations for projects for the elimination or control of combined sewer overflows in: (1) Jackson County, Mississippi; (2) Manchester, New Hampshire; (3) Atlanta, Georgia; (4) Paterson, Passaic County, and Passaic Valley, New Jersey; (5) Elizabeth and North Hudson, New Jersey; and (6) the Delaware River, Pennsylvania and Delaware. Prohibits construction on a project authorized to be carried out by the Secretary of the Army until the Secretary determines that the project is technically sound, environmentally acceptable, and economically justified. <n>(Sec. 4) Repeals a provision prohibiting construction on a project authorized to be carried out by the Secretary until the Secretary determines that the project is technically sound, environmentally acceptable, and economically justified. <n>(Sec. 5) Requires a project cooperation agreement for the Comite River Diversion Project to include a provision that specifies that any reduction in the non-Federal share that results from the modification of the project shall be credited toward the share of project costs to be paid by the Amite River Basin Drainage and Water Conservation District. <n>(Sec. 7) Authorizes appropriations for a project for which a District Engineer's Report is completed by the date of enactment of this Act. <n>(Sec",0.4324999153614044,"Amends the Water Resources Development Act of 1999 to: (1) authorize appropriations for FY 1999 through 2009 for implementation of a long-term resource monitoring program with respect to the Upper Mississippi River Environmental Management Program (currently, such funding is designated for a program for the planning, construction, and evaluation of measures for fish and wildlife habitat rehabilitation and enhancement); (2) authorize the Secretary of the Army to carry out modifications to the navigation project for the Delaware River, Pennsylvania and Delaware, if such project as modified is technically sound, environmentally (currently, economically) acceptable, and economically justified; (3) subject certain previously deauthorized water resources development projects to the seven-year limitation governing project deauthorizations under the Act, with the exception of such a project for Indian River County, Florida; (4) except from a certain schedule of the non-Federal cost of the periodic nourishment of shore protection projects constructed after December 31, 1999, those projects for which a District Engineer's Report has been completed by such date;  (5) require that the project cooperation agreement for the Comite River Diversion Project for flood control include a provision that specifies that any reduction in the non-Federal share that results from certain modifications be credited toward the share of project costs to be paid by the Amite River Basin Drainage and Water Conservation District; (6) allow the Secretary to provide additional compensation to Chesapeake City, Maryland (currently, to the City of Chesapeake, Maryland) for damage to its water supply resulting from the Chesapeake and Delaware Canal Project; (7) provide for the submission of certain reports on water resources development projects by the Secretary, notwithstanding Federal reporting termination provisions; and (8) authorize and provide for an authorization of appropriations for the existing program for the safety and operations expenses of the Federal Railroad Administration, and make available for obligation funds currently appropriated for such program.",0.8811976313591003,0.8645074367523193,0.8727726936340332,9.682884410722181e-05
1,1,1,1,0.174358974358974,0.0670103092783505,0.138461538461538,0.755555555555556,0.295454545454545,0.6,0.283333333333333,0.109243697478992,0.225,-0.36,29.789,39.197,14.75,13.006,35.168,279,43,80,329,63,20,111,3,1070,361.78,305.451,855.368,3,"Federal Forage Fee Act of 1993 - Makes all grazing operations conducted on Federal lands subject to all applicable Federal, State, and local laws, including, but not limited to: (1) Animal Damage Control Act; (2) the Clean Air Act; (3) the Endangered Species Act; (4) the Federal Advisory Committee Act; (5) the Federal Grant and Cooperative Agreement Act; (6) the National Forest Management Act of 1976; (7) the Federal Land Policy and Management Act of 1976; (8) the Federal Water Pollution Control Act; (9) the Granger-Thye Wilderness Act; (10) the Independent Offices Appropriations Act of 1952; (11) the National Environmental Policy Act of 1969; and (12) the Public Rangeland Improvement Act. <n>Amends the: (1) Western States' Update Act of 1973 to set forth the fee schedule for grazing operations in Arizona, California, Colorado, Idaho, Kansas, Montana, Nebraska, Nevada, New Mexico, North Dakota, Oklahoma, Oregon, South Dakota, Utah, Washington, and Wyoming; and (2) Federal Land Policy and Management Act of 1976 to set forth the fee schedule for livestock grazing on Federal lands in Arizona, California, Colorado, Idaho, Kansas, Montana, Nebraska, Nevada, New Mexico, North Dakota, Oklahoma, Oregon, South Dakota, Utah, Washington, and Wyoming. <n>",0.5434523820877075,"Federal Forage Fee Act of 1993 - Subjects grazing operations on Federal land to applicable Federal, State, and local environmental and land use requirements. 
Sets forth a forage fee formula for lands under the jurisdiction of the Department of Agriculture and the Department of the Interior.",0.7891160845756531,0.9062201976776124,0.8436236381530762,0.031870611011981964
2,2,2,2,0.927536231884058,0.808823529411765,0.927536231884058,0.719101123595506,0.625,0.719101123595506,0.810126582278481,0.705128205128205,0.810126582278481,71.107,6.72,8.969,5.713,9.435,7.327,77,24,9,98,6,5,47,5,326,204.26,163.548,342.744,0,. Merchant Marine of World War II Congressional Gold Medal Act (Sec. 3) This bill directs the Speaker of the House of Representatives and the President pro tempore of the Senate to award a Congressional Gold Medal to the U.S. Merchant Marine in honor of their dedicated and vital service during World War II. (Sec. 4) The medal shall be given to the American Merchant Marine Museum for display.,0.7794232964515686,".  Merchant Marine of World War II Congressional Gold Medal Act (Sec. 3) This bill requires the Speaker of the House of Representatives and the President pro tempore of the Senate to arrange for the award, on behalf of Congress, of a single gold medal to the U.S. Merchant Marine of World War II, in recognition of their dedicated and vital service during World War II.  Following its award the medal shall be given to the American Merchant Marine Museum where it will be available for display and research.",0.9729387760162354,0.9482980966567992,0.9604604244232178,0.18070225417613983
3,3,3,3,0.45679012345679,0.2625,0.395061728395062,0.4625,0.265822784810127,0.4,0.459627329192547,0.264150943396226,0.397515527950311,35.881,13.285,18.47,8.569,13.372,13.234,96,33,15,144,21,9,62,4,437,424.3,333.372,399.316,0,"Small Business Tax Modernization Act of 2004 - Amends the Internal Revenue Code to prohibit any new S corporation elections after December 31, 2004. Terminates S corporation status after 2014. Allows an eligible corporation to elect to be treated as a partnership. Defines partnership"" to include a syndicate, group, pool, joint venture, or other unincorporated organization through or by means of which any business, financial operation, or venture is carried on, and which is not a trust or estate or a corporation.""",0.9232634902000428,"Small Business Modernization Act of 2004 - Amends the Internal Revenue Code to: (1) terminate subchapter S corporation elections after 2004 and subchapter S status after 2014 and to allow privately-held domestic corporations, in lieu of electing subchapter S treatment, to elect to be treated as partnerships for tax purposes; (2) set forth rules for the tax treatment of former subchapter S corporations electing partnership status; and (3) exclude from net earnings from self-employment partnership income attributable to capital.",0.8589022159576416,0.8639895915985107,0.8614383935928345,0.09661989659070969
4,4,4,4,0.73125,0.389937106918239,0.4375,0.585,0.311557788944724,0.35,0.65,0.346368715083799,0.388888888888889,33.305,15.239,20.667,9.895,14.438,17.014,183,70,23,277,40,18,89,6,878,876.63,733.689,791.056,0,". Fair Access to Investment Research Act of 2016 (Sec. 2) This bill directs the Securities and Exchange Commission (SEC) to establish and implement a safe harbor"" for certain investment fund research reports published by brokers and dealers. Such reports shall be deemed not to be ""offers"" under specified provisions of securities law, even if the broker or dealer participates in the registered offering of the investment fund\\'s securities. In implementing the safe harbor, the SEC must prohibit a self-regulatory organization from maintaining or enforcing a rule that would prevent a member from: (1) publishing or distributing a covered investment fund research report solely because the member is also participating in a registered offering or other distribution of the fund\\'s securities, or (2) participating in a registered offering or other distribution of the fund solely because the member has published a research report about it. The bill restricts the SEC from conditioning the safe harbor upon specified requirements.""",0.5856005549430847,"Fair Access to Investment Research Act of 2016 This bill directs the Securities and Exchange Commission (SEC) to revise a specified regulation to create a safe harbor for certain publications or distributions of research reports by brokers or dealers distributing securities. The revised regulation shall declare that a published or distributed investment fund research report shall not be deemed to constitute an offer for sale or an offer to sell a security that is the subject of the offering pursuant to an effective registration statement, even if the broker or dealer is participating or will participate in the registered offering of the covered investment fund's securities. The covered investment fund research report shall indeed be deemed to satisfy the regulation's requirements as well as those of any self-regulatory organization. The SEC shall not impose specified conditions and requirements when implementing the safe harbor.  Until the SEC has adopted such safe harbor revisions, and the Financial Industry Regulatory Authority (FINRA) has revised a related rule, a covered investment fund shall be deemed to be a security listed on a national securities exchange that is not subject to a certain filing requirement of the Investment Company Act of 1940. ",0.8927183747291565,0.8878076076507568,0.8902562856674194,0.45003411173820496
5,5,5,5,0.728155339805825,0.61764705882353,0.621359223300971,0.961538461538462,0.818181818181818,0.82051282051282,0.828729281767956,0.70391061452514,0.707182320441989,33.177,17.161,21.889,9.329,14.508,20.704,114,38,11,169,21,8,66,3,557,568.13,479.4,503.708,0,"Prescription Drug Monitoring Act of 2016 This bill requires a state that receives grant funds under the prescription drug monitoring program (PDMP) or the controlled substance monitoring program to comply with specified requirements, including a requirement to make its PDMP data available to other states through a data-sharing single technology solution. The Department of Justice (DOJ) or Department of Health and Human Services may withhold grant funds from a state that fails to comply. To facilitate data sharing among states, the bill directs DOJ to award a grant under the PDMP competitive grant program to establish and maintain a data-sharing hub.",0.5595524907112122,"Prescription Drug Monitoring Act of 2016 This bill requires a state that receives grant funds under the prescription drug monitoring program (PDMP) or the controlled substance monitoring program to comply with specified requirements. The Department of Justice (DOJ) or Department of Health and Human Services may withhold grant funds from a state that fails to comply.  Additionally, the bill requires a state to share its PDMP data with other states through a data-sharing hub established by DOJ. ",0.9507739543914796,0.9732928276062012,0.961901605129242,0.07555903494358063
6,6,6,6,0.506410256410256,0.329032258064516,0.378205128205128,0.731481481481482,0.476635514018692,0.546296296296296,0.598484848484849,0.389312977099237,0.446969696969697,-16.236,34.529,42.103,15.115,15.288,42.032,180,64,27,263,44,14,86,2,846,646.91,516.167,744.22,0,"Strategic Gasoline and Fuel Reserve Act of 2005 - Amends the Energy Policy and Conservation Act to direct the Secretary of Energy to establish, maintain, and operate a Strategic Gasoline and Fuel Reserve (the Reserve). Prohibits the Reserve from being a component of the Strategic Petroleum Reserve.<n><n>Requires the Secretary to determine not less than three Reserve sites, and not more than five Reserve sites, throughout the United States that are regionally strategic.<n><n>Instructs the Secretary to obtain the concurrence of the Secretary of Homeland Security with respect to physical design and operational security.<n><n>Authorizes the Secretary to: (1) acquire storage and related facilities and storage services; (2) use, lease, maintain, sell, or otherwise dispose of storage and related facilities acquired under this Act; (3) store gasoline and fuel in facilities not owned by the United States; and (4) sell, exchange, or otherwise dispose of gasoline and fuel from the Reserve.",0.4850698411464691,"Strategic Gasoline and Fuel Reserve Act of 2005 - Amends the Energy Policy and Conservation Act to direct the Secretary of Energy to establish, maintain, and operate a Strategic Gasoline and Fuel Reserve of gasoline and jet fuel.

Instructs the Secretary to determine between three and five regionally strategic Reserve sites throughout the United States.

Permits the Secretary to release gasoline or fuel from the Reserve only if: (1) the President finds that there is a severe fuel supply disruption; or (2) the Governor of a state requests a release from the Reserve, accompanied by specified findings.



Establishes in the Treasury a revolving Strategic Gasoline and Fuel Reserve Fund.",0.8666885495185852,0.905441403388977,0.8856412172317505,0.03014359064400196
7,7,7,7,0.345291479820628,0.175675675675676,0.233183856502242,0.538461538461538,0.274647887323944,0.363636363636364,0.420765027322404,0.214285714285714,0.284153005464481,-9.88,32.855,41.697,11.892,12.555,38.273,259,95,39,370,68,13,99,3,1115,967.85,878.306,1058.988,0,"(This measure has not been amended since it was introduced in the House on October 6, 2003. However, because action occurred on the measure, the summary has been expanded.)Special Agent Scott K. Carey Public Safety Officer Benefits Enhancement Act - Amends the Omnibus Crime Control and Safe Streets Act of 1968 (Omnibus Act) to make an eligible dependent of a Federal, State, county, or local public safety officer who dies in the line of duty on or after January 1, 1978, or who becomes permanently and totally disabled as the direct result of a catastrophic injury sustained in the line of duty on or after January 1, 1978, eligible for assistance under the public safety officers' disability benefits program.(Sec. 102) Revises application requirements for the public safety officers' disability benefits program to make eligible for assistance an eligible dependent (currently, a dependent of the officer) who: (1) dies in the line of duty on or after January 1, 1978; or (2) becomes permanently and totally disabled as the direct result of a catastrophic injury sustained in the line of duty on or after January 1, 1978.(Sec. 103) Makes an eligible dependent eligible for assistance retroactively if such an officer: (1) dies in the line of duty on or after January 1, 1978; or (2) becomes permanently and totally disabled as the",0.5404623746871948,"Special Agent Scott K. Carey Public Safety Officer Benefits Enhancement Act - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to extend: (1) educational benefits to public safety officers who become permanently and totally disabled in the line of duty and to their spouses and children; (2) allow payment of retroactive benefits to dependents of such disabled officers; and (3) establish a program of pension payments for certain survivors of deceased public safety officers.

Authorizes the Secretary of Education to: (1) award a Public Safety Officer scholarship to disabled public safety officers, their spouses, and their children; and (2) enter into agreements with educational institutions to carry out such scholarship program.

Amends federal personnel law to allow widows or widowers of federal employees killed on the job to continue to receive monthly compensation even if they remarry before reaching age 55.",0.8450769186019897,0.8674107789993286,0.8560982346534729,0.002517731860280037
8,8,8,8,0.777777777777778,0.415730337078652,0.533333333333333,0.469798657718121,0.25,0.322147651006711,0.585774058577406,0.312236286919831,0.401673640167364,9.318,22.89,29.418,13.993,13.729,24.762,100,41,12,159,26,12,65,2,464,443.46,335.69,444.267,0,"Promoting Financial Literacy and Economic Opportunity Act of 2015 Amends the Internal Revenue Code to allow a business-related tax credit for 50% of the amount paid or incurred for the promotion of economic and financial literacy by eligible for profit organizations pursuant to a qualified program. Defines &quot;eligible for profit organization&quot; as a organization that: (1) has a qualified program in effect for the taxable year, and (2) has been determined by the Secretary of the Treasury to be an organization to whom the credit is allowed.",0.8154762983322144,"Promoting Financial Literacy and Economic Opportunity Act of 2015 This bill amends the Internal Revenue Code to allow up to 20 for-profit organizations in any taxable year a business-related tax credit for 50% of the amount paid or incurred to carry out activities to improve the quality of student understanding of personal finance and economics. The Department of the Treasury shall determine which for-profit organizations are eligible for the credit, ensuring that a majority of credit recipients are: (1) either a socially and economically disadvantaged small business concern, a small business concern owned and controlled by women, or a small business concern that is at least 51% owned by veterans, or (2) do not have more than $60 billion in assets. In determining the eligibility of a for-profit organization, Treasury shall give priority to organizations that have programs serving either urban or rural underserved areas. ",0.8929643630981445,0.8717265129089355,0.8822175860404968,0.03348546102643013
9,9,9,9,0.891509433962264,0.691943127962085,0.740566037735849,0.642857142857143,0.498293515358362,0.534013605442177,0.74703557312253,0.579365079365079,0.620553359683794,-34.431,44.022,50.221,14.565,12.613,53.807,231,100,22,334,44,13,108,2,1042,1146.82,919.002,1083.628,2,"Amends the Tariff Act of 1930 to prohibit the entry of cigarettes or smokeless tobacco products into the United States in connection with a delivery sale. Defines delivery sale"" as any sale of cigarettes or smokeless tobacco products to a consumer if: (1) the consumer submits the order for such sale by means of a telephone, other method of voice transmission, the mail, or the Internet or other online service, or the seller is otherwise not in the physical presence of the buyer when the request for purchase or order is made; or (2) the cigarettes or smokeless tobacco product is delivered by use of a common carrier, private delivery service, or the mail, or the seller is not in the physical presence of the buyer when the buyer obtains personal possession of the delivered cigarettes or smokeless tobacco product.<n><n>Entitles a state, through its Attorney General, to obtain copies of any certification required by the United States for the importation of such products in connection with a delivery sale.<n><n>Authorizes persons who hold a permit under the Internal Revenue Code to bring actions in U.S. district courts against any person, other than a state, local, or tribal government to prevent and restrain violations of this Act.""",0.5234763026237488,"Amends the Tariff Act of 1930 to define ""delivery sale"" of a tobacco product as any sale of cigarettes or a smokeless tobacco product to a consumer if: (1) the consumer submits the purchase order by means of a telephone or other method of voice transmission, the mail, or the Internet or other online service, or the seller is otherwise not in the buyer's physical presence when the purchase request or order is made; or (2) the cigarettes or smokeless tobacco product is delivered by use of a common carrier, private delivery service, or the mail, or the seller is not in the buyer's physical presence when the buyer obtains personal possession of the delivered cigarettes or smokeless tobacco product.



Makes the personal use exemption from tobacco import requirements inapplicable to cigarettes or smokeless tobacco products sold in connection with a delivery sale.

Allows states access to copies of Customs Service certifications required for cigarette imports.

Permits any tobacco product, cigarette papers, or tube found in violation of the Act to be forfeited for destruction to any state in which it is found.

Authorizes persons who hold permits under the Internal Revenue Code concerning tobacco products, cigarette papers, and tubes to bring an action in the U.S. district courts against any person, other than a state, local, or tribal government, to prevent and restrain violations of the Act.

Authorizes state and local governments to bring civil actions for prevention or restraint against persons who violate the Act.

Subjects smokeless tobacco products to the same entry requirements and enforcement mechanisms as apply to certain cigarettes under the Act.

Amends the Internal Revenue Code to impose civil penalties against persons for relanding, except for personal use, tobacco products sold in a delivery sale.",0.9279583096504213,0.9032304286956788,0.9154273867607116,0.00498313969001174
