"X","summary","fkre.GOLD","fkgl.GOLD","fogi.GOLD","smog.GOLD","cole.GOLD","auto.GOLD","t_word.GOLD","t_stopword.GOLD","t_punct.GOLD","t_syll.GOLD","t_syll2.GOLD","t_syll3.GOLD","t_uword.GOLD","t_sent.GOLD","t_char.GOLD","t_kup.GOLD","t_bry.GOLD","t_subtlex_us_zipf.GOLD","t_n_ent_law.GOLD","summary_generated","fkre.GEN","fkgl.GEN","fogi.GEN","smog.GEN","cole.GEN","auto.GEN","t_word.GEN","t_stopword.GEN","t_punct.GEN","t_syll.GEN","t_syll2.GEN","t_syll3.GEN","t_uword.GEN","t_sent.GEN","t_char.GEN","t_kup.GEN","t_bry.GEN","t_subtlex_us_zipf.GEN","t_n_ent_law.GEN"
0,"Amends the Water Resources Development Act of 1999 to: (1) authorize appropriations for FY 1999 through 2009 for implementation of a long-term resource monitoring program with respect to the Upper Mississippi River Environmental Management Program (currently, such funding is designated for a program for the planning, construction, and evaluation of measures for fish and wildlife habitat rehabilitation and enhancement); (2) authorize the Secretary of the Army to carry out modifications to the navigation project for the Delaware River, Pennsylvania and Delaware, if such project as modified is technically sound, environmentally (currently, economically) acceptable, and economically justified; (3) subject certain previously deauthorized water resources development projects to the seven-year limitation governing project deauthorizations under the Act, with the exception of such a project for Indian River County, Florida; (4) except from a certain schedule of the non-Federal cost of the periodic nourishment of shore protection projects constructed after December 31, 1999, those projects for which a District Engineer's Report has been completed by such date;  (5) require that the project cooperation agreement for the Comite River Diversion Project for flood control include a provision that specifies that any reduction in the non-Federal share that results from certain modifications be credited toward the share of project costs to be paid by the Amite River Basin Drainage and Water Conservation District; (6) allow the Secretary to provide additional compensation to Chesapeake City, Maryland (currently, to the City of Chesapeake, Maryland) for damage to its water supply resulting from the Chesapeake and Delaware Canal Project; (7) provide for the submission of certain reports on water resources development projects by the Secretary, notwithstanding Federal reporting termination provisions; and (8) authorize and provide for an authorization of appropriations for the existing program for the safety and operations expenses of the Federal Railroad Administration, and make available for obligation funds currently appropriated for such program.",-268.681,128.741,137.32,35.676,17.981,162.705,365,122,51,582,92,39,174,1,1860,1506.62,1240.206,1525.664,0,"Amends the Water Resources Development Act of 1992 to authorize appropriations for projects for the elimination or control of combined sewer overflows in: (1) Jackson County, Mississippi; (2) Manchester, New Hampshire; (3) Atlanta, Georgia; (4) Paterson, Passaic County, and Passaic Valley, New Jersey; (5) Elizabeth and North Hudson, New Jersey; and (6) the Delaware River, Pennsylvania and Delaware. Prohibits construction on a project authorized to be carried out by the Secretary of the Army until the Secretary determines that the project is technically sound, environmentally acceptable, and economically justified. <n>(Sec. 4) Repeals a provision prohibiting construction on a project authorized to be carried out by the Secretary until the Secretary determines that the project is technically sound, environmentally acceptable, and economically justified. <n>(Sec. 5) Requires a project cooperation agreement for the Comite River Diversion Project to include a provision that specifies that any reduction in the non-Federal share that results from the modification of the project shall be credited toward the share of project costs to be paid by the Amite River Basin Drainage and Water Conservation District. <n>(Sec. 7) Authorizes appropriations for a project for which a District Engineer's Report is completed by the date of enactment of this Act. <n>(Sec",36.141,13.96,19.629,9.71,14.694,15.578,250,79,42,362,54,26,110,9,1166,830.66,712.949,964.206,0
9,"Amends the Tariff Act of 1930 to define ""delivery sale"" of a tobacco product as any sale of cigarettes or a smokeless tobacco product to a consumer if: (1) the consumer submits the purchase order by means of a telephone or other method of voice transmission, the mail, or the Internet or other online service, or the seller is otherwise not in the buyer's physical presence when the purchase request or order is made; or (2) the cigarettes or smokeless tobacco product is delivered by use of a common carrier, private delivery service, or the mail, or the seller is not in the buyer's physical presence when the buyer obtains personal possession of the delivered cigarettes or smokeless tobacco product.



Makes the personal use exemption from tobacco import requirements inapplicable to cigarettes or smokeless tobacco products sold in connection with a delivery sale.

Allows states access to copies of Customs Service certifications required for cigarette imports.

Permits any tobacco product, cigarette papers, or tube found in violation of the Act to be forfeited for destruction to any state in which it is found.

Authorizes persons who hold permits under the Internal Revenue Code concerning tobacco products, cigarette papers, and tubes to bring an action in the U.S. district courts against any person, other than a state, local, or tribal government, to prevent and restrain violations of the Act.

Authorizes state and local governments to bring civil actions for prevention or restraint against persons who violate the Act.

Subjects smokeless tobacco products to the same entry requirements and enforcement mechanisms as apply to certain cigarettes under the Act.

Amends the Internal Revenue Code to impose civil penalties against persons for relanding, except for personal use, tobacco products sold in a delivery sale.",30.029,18.387,23.533,8.569,13.242,21.215,332,125,32,492,64,18,129,8,1554,1715.1,1334.233,1491.794,2,"Amends the Tariff Act of 1930 to prohibit the entry of cigarettes or smokeless tobacco products into the United States in connection with a delivery sale. Defines delivery sale"" as any sale of cigarettes or smokeless tobacco products to a consumer if: (1) the consumer submits the order for such sale by means of a telephone, other method of voice transmission, the mail, or the Internet or other online service, or the seller is otherwise not in the physical presence of the buyer when the request for purchase or order is made; or (2) the cigarettes or smokeless tobacco product is delivered by use of a common carrier, private delivery service, or the mail, or the seller is not in the physical presence of the buyer when the buyer obtains personal possession of the delivered cigarettes or smokeless tobacco product.<n><n>Entitles a state, through its Attorney General, to obtain copies of any certification required by the United States for the importation of such products in connection with a delivery sale.<n><n>Authorizes persons who hold a permit under the Internal Revenue Code to bring actions in U.S. district courts against any person, other than a state, local, or tribal government to prevent and restrain violations of this Act.""",-34.431,44.022,50.221,14.565,12.613,53.807,231,100,22,334,44,13,108,2,1042,1146.82,919.002,1083.628,2
15,"Authorizes the Secretary of Energy to enter into one or more contracts with facilities located within 25 miles of a current or former Department of Energy (DOE) defense nuclear facility for the procurement of products and services to support waste cleanup and modernization activities at such nuclear facilities.  Requires the Secretary to give preference to facilities that plan to hire, to the maximum extent practicable, residents in the vicinity of the defense nuclear facility who are employed or who have previously been employed by DOE or its private contractor at the facility. 
Prohibits any person from bringing a claim against a contractor or subcontractor for injury, cost, damage, illness, death, damage to property, or economic loss caused by a release of a hazardous contaminant during performance of the contract, unless such release or threatened release is caused by contractor or subcontractor negligence or intentional misconduct.  Sets forth a six year statute of limitations for commencement of such actions. 
Directs the Secretary and contractors under the Secretary's supervision, in entering into a contract or subcontract with a private entity for products to be acquired or services to be performed at a qualifying DOE site, to give preference to an entity (otherwise qualified and within the competitive range) that plans to:  (1) provide products and services originating from communities within 25 miles of the site; (2) hire residents living in the site's vicinity to perform the contract (especially dislocated site workers); and (3) invest in value-added activities in the site's vicinity to mitigate adverse economic development impacts resulting from closure or restructuring of the site.",4.191,26.189,32.348,14.897,14.547,30.515,304,123,32,474,72,34,137,5,1461,1642.14,1300.068,1339.857,0,"Authorizes the Secretary of Energy to enter into one or more long-term contracts, for up to 30 years each, for the procurement, from a facility located within 25 miles of a current or former Department of Energy defense nuclear facility, of products and services necessary to support waste cleanup and modernization activities at such facilities.",-4.098,27.743,32.4,17.138,13.701,30.625,62,27,6,102,14,9,46,1,292,311.05,263.429,290.61,0
17,"State Innovation Pilot Act of 2011 - Amends part D (Waivers) of title IX (General Provisions) of the Elementary and Secondary Education Act of 1965 to revise the process by which states, LEAs, and Indian tribes obtain waivers of the Act's statutory and regulatory requirements.

Requires waiver requests by states, LEAs, or Indian tribes to include a plan that describes how: (1) the waiver will improve instruction and student achievement in accordance with the state's college and career ready academic content and achievement standards; (2) the plan will be evaluated regularly and improved continuously; (3) they will review implementation of the college and career readiness standards; (4) they will identify, support, and intervene in underperforming schools; and (5) they will maintain and improve transparency in reporting to parents and the public on student achievement and school performance.

Requires the Secretary of Education to approve requests that meet such requirements and do not involve certain specified statutory or regulatory requirements.

Directs the Secretary to establish a multidisciplinary peer review team to review a waiver request if the Secretary requests their input or intends to disapprove the request. Requires peer reviewers to review waiver requests in their totality, in deference to state and local judgment, and with the goal of promoting state and local innovation.

Gives the Secretary a limited amount of time to decide on a waiver request. Gives requesters opportunities to revise their requests.

Prohibits the Secretary from imposing conditions on a waiver that require the state, LEA, or Indian tribe to adopt or drop specific standards or assessment systems.",27.422,17.695,22.022,11.425,14.633,20.285,304,104,38,458,58,32,135,8,1455,1528.15,1243.561,1273.071,0,"State Innovation Pilot Act of 2011 - Amends the Elementary and Secondary Education Act of 1965 (ESEA) to revise the process for state educational agencies (SEAs), local educational agencies (LEAs), and Indian tribes to request waivers from certain ESEA requirements. Requires a waiver request to include a plan that will improve instruction for students, advance student academic achievement, and contribute to student mastery of knowledge and skills consistent with the state's college and career ready academic content standards and student academic achievement standards. Requires the plan to include the methods the SEA, LEA, or tribe will use to: (1) monitor the effectiveness of the implementation of the plan; and (2) assure regular evaluation and continuous improvement. Requires the SEA, LEA, or tribe's process for making valid and meaningful accountability determinations based on student academic achievement to review the success of schools and LEAs or Indian tribes in implementing the state's college and career ready academic content standards and student academic achievement standards to: (1) describe its process for accurately and meaningfully identifying, supporting, and intervening in underperforming schools; and (2) include information on how the SEA, LEA, or tribe will maintain and improve transparency in reporting to parents and the public on student achievement and school performance. Directs the Secretary of Education to",9.336,22.64,26.502,14.897,16.494,26.49,250,77,35,391,50,34,108,5,1241,1206.26,946.36,1029.837,0
18,"No Second Chances for Murderers, Rapists, or Child Molesters Act of 1998 - Expresses the sense of the Congress that any individual convicted of:  (1) murder should receive the death penalty or be imprisoned for life without the possibility of parole; and (2) rape or a dangerous sexual offense involving a child under age 14 should be imprisoned for life without the possibility of parole. 
Requires the Attorney General to transfer the following amounts from Federal law enforcement assistance funds for a State that convicted a person of a first offense of murder, rape, or a dangerous sexual offense to a State that convicts that person for a subsequent such offense:  (1) up to $100,000 for transfer to each victim of the subsequent offense; and (2) the cost of incarceration, prosecution, and apprehension of such person.  Sets forth provisions regarding situations where a person has a prior conviction in more than one State. 
Requires the United States Sentencing Commission to amend the Federal sentencing guidelines to provide that whoever is guilty of: (1) murder shall be punished by death or by life imprisonment; and (2) rape or a dangerous sexual offense shall be punished by life imprisonment. 
Directs the Attorney General to collect and distribute data to the President, Members of Congress, State governments, and officials of localities and penal and other institutions participating in the Uniform Crime Reports program which includes:  (1) the number of murders, rapes, and dangerous sexual offenses committed by persons previously convicted of one of these offenses; and (2) the percentage of cases in which a person convicted of murder, rape, or a dangerous sexual offense in one State commits a second offense in another State.",15.302,25.434,31.79,9.895,12.862,30.74,331,125,43,453,63,15,135,5,1472,1561.41,1239.869,1462.777,0,"(Sec. 1) Expresses the sense of the Congress that: (1) any individual convicted of murder should receive the death penalty or be imprisoned for life without the possibility of parole; and (2) any individual convicted of rape or a dangerous sexual offense involving a child under 14 should be imprisoned for life without the possibility of parole.(Sec. 3) Directs the Attorney General, in a case in which a State convicts of murder, rape, or a dangerous sexual offense a person who has a prior conviction for one such offense in another State, to administer the transfer of specified amounts from Federal law enforcement assistance funds to the State that convicted such person of the first offense and to the State that convicted of a subsequent offense. Directs that half of the amounts transferred be paid to the State designated to administer crime victim assistance and half be deposited in a State account that collects Federal law enforcement funds.Provides that, in a case in which a State convicts of murder, rape, or a dangerous sexual offense a person who has a prior conviction for one of these offenses in more than one State, the Attorney General shall administer the transfer of specified amounts from Federal law enforcement assistance funds of each State that convicted of a prior offense.",20.349,23.96,30.057,11.063,12.437,28.873,240,104,22,338,45,15,86,4,1089,1270.1,984.407,1172.629,0
21,"Reduce Expenditures in Nuclear Infrastructure Now Act or the REIN-IN Act - Prohibits the obligation or expenditure of funds authorized to be appropriated to the Department of Defense (DOD) for FY2014-FY2023: (1) for the research, development, test, and evaluation (RDT&amp;E) or procurement of a long-range penetrating bomber aircraft; (2) to procure an SSBN-X submarine (and prohibits the use of such funds for FY2024 and thereafter to procure more than eight such submarines); or (3) for the RDT&amp;E or procurement of a new intercontinental ballistic missile (ICBM). Prohibits the obligation or expenditure of funds authorized to be appropriated for FY2014 or thereafter for DOD or the Department of Energy (DOE): (1) to make the F-35 Joint Strike Fighter aircraft capable of carrying nuclear weapons; (2) until the Secretary of Defense and the Secretary of Energy jointly certify that the total cost of the B61 life extension program has been reduced to not more than $5 billion; (3) for the W78 life extension program; (4) for the mixed oxide fuel fabrication facility project; (5) to replace the chemistry and metallurgy research building at Los Alamos National Laboratory, Los Alamos, New Mexico; or (6) for the uranium processing facility at the Y-12 National Security Complex, Oak Ridge, Tennessee. Prohibits Navy forces, beginning in FY2020, from including more than eight operational ballistic-missile submarines available for deployment. Prohibits the use of DOD funds for FY2014 or thereafter: (1) to maintain more than 250 submarine-launched ballistic missiles; (2) to maintain more than 150 intercontiental ballistic missiles (ICBMs) on a 24-hour, high alert status; or (3) for the medium extended air defense system. Requires initial and annual reports from the Secretaries of Defense and Energy outlining their respective plans to carry out the requirements of this Act. Directs the President to submit to Congress an annual report containing a comprehensive accounting by the Director of the Office of Management and Budget (OMB) of the amounts obligated or expended by the federal government for each nuclear weapon and related nuclear program during the fiscal year covered by the report for the life cycle of such weapon or program.",11.13,26.488,33.212,13.398,13.86,32.477,430,146,73,571,84,33,185,6,1905,1771.6,1409.525,1680.039,1,"Reduce Expenditures in Nuclear Infrastructure Now Act or the REIN-IN Act Prohibits using funds appropriated to the Department of Defense (DOD) for FY2014-FY2023: (1) for the research, development, test, and evaluation or procurement of a long-range penetrating bomber aircraft; (2) to make the F-35 Joint Strike Fighter aircraft capable of carrying nuclear weapons; (3) until the Secretary of Defense and the Secretary of Energy jointly certify that the total cost of the B61 life extension program has been reduced to not more than $5 billion; (4) for the W78 life extension program; (5) for the reduction of nuclear-armed submarines, beginning in FY2020; or (6) for the National Nuclear Security Administration for FY2024.",-39.182,47.79,54.321,19.79,13.297,60.58,146,46,29,176,22,12,85,1,613,489.63,402.441,546.729,0
23,"Clinical Laboratory Compliance Improvement Act of 2004 - Amends title XVIII (Medicare) of the Social Security Act to require each provider or clinical laboratory approved for participation under Medicare to provide clinical diagnostic laboratory tests to post in a conspicuous place a notice to employees that indicates the manner in which to report instances of noncompliance with conditions of participation.

Prohibits such a provider or clinical laboratory from discriminating against or retaliating in any manner against any employee because that employee, or any other person, has presented a grievance or complaint, or has initiated or cooperated in any investigation or proceeding of any kind, relating to the clinical diagnostic laboratory tests performed or other requirements and prohibitions of Medicare. Provides for judicial action for any employee so aggrieved.

Requires the investigative organization, upon receipt of a report of an instance of noncompliance, to: (1) provide notice to the Secretary and other investigative organizations involved of receipt of the report within three business days, using a standard format and manner of transmission developed by the Secretary for such purpose; (2) promptly determine whether to investigate the report; and (3) if appropriate, promptly investigate it.

Requires that the Secretary, in measuring the performance of an investigative organization under contract, to provide for appropriate adjustments to payments for failure to carry out the responsibilities of this Act. Subjects each provider or clinical laboratory to a standard survey, including verification of compliance with requirements, conducted without prior notice. Makes liable for civil monetary penalties any individual who notifies (or causes to be notified) a provider or laboratory of the time or date on which such a survey is scheduled to be conducted.",2.474,22.851,27.857,12.955,16.661,25.165,313,130,33,542,83,36,141,7,1614,1685.42,1292.164,1412.913,0,"Clinical Laboratory Compliance Improvement Act of 2004 - Amends title XVIII (Medicare) of the Social Security Act with respect to protections for employees of providers and laboratories providing clinical diagnostic laboratory tests. Requires each provider or clinical laboratory approved for participation under Medicare to post a notice in a conspicuous place to employees that indicates the manner in which to report instances of noncompliance with conditions of participation, including deficiencies with respect to testing, quality, and inadequately trained personnel. Requires such notice to include: (1) the name and contact information of the appropriate entity, accreditation organization, or State or Federal agency to report instances of noncompliance; and (2) a description of the rights and protections under this Act of individuals who report instances of noncompliance. Prohibits any such provider or laboratory from discriminating or retaliation against an employee because that employee has presented a grievance or complaint, or has initiated or cooperated in any investigation or proceeding of any kind, relating to the clinical diagnostic laboratory tests performed by the provider or laboratory. Entitles such an employee who has been discriminated or retaliated against in employment in violation of this Act to reinstatement, reimbursement for lost wages and work benefits caused by the unlawful acts of the employing provider or laboratory. Prohibits such an action from being brought more than two years after the discrimination or retaliation with respect",2.033,22.416,28.533,12.774,17.747,25.066,250,104,22,448,76,30,122,6,1353,1366.15,1011.352,1143.435,0
40,"Census Improvement Act - Prohibits any organization that has been indicted for a violation of law relating to an election for federal or state office or that employs or otherwise uses the services of an individual who has been indicted for such a violation from participating in the Planning Partnership Program for the 2010 census of population.

Provides that no bill, joint resolution, amendment, or conference report containing a provision which would have the effect of limiting the application of provisions regarding the confidentiality of census information shall be considered as passed or agreed to by either chamber of Congress except by a vote of at least two-thirds of the Members voting.

Requires: (1) the Secretary of Commerce to submit to the Government Accountability Office (GAO) a copy of each question proposed to be included in the 2010 census and the American Community Survey; (2) GAO  to review and report to Congress on such questions; and (3) the Secretary to include his or her views on, and GAO to specifically address, the reasons for each question, the purposes for which the information obtained is likely to be used, alternative means by which the same information could be obtained, and the relative advantages and disadvantages of obtaining the information through a census or survey.

Prohibits any person conducting the Survey or 2010 census from seeking answers to any questions relating to a household or any member of such household from any person who is not a member of that household.",4.2,28.387,34.312,13.398,12.969,33.615,278,133,25,414,57,22,130,4,1283,1318.19,1161.045,1324.314,0,"Census Improvement Act - Limits the participation in the Planning Partnership Program for the 2010 census of population to an organization which has been indicted for a violation under federal or state law relating to an election for federal or state office or which employs applicable individuals. Declares that no bill or joint resolution, amendment, or conference report containing a provision which would have the effect of repealing, suspending, or otherwise limiting the application of confidentiality provisions regarding information as confidential shall be considered as passed or agreed to by either House of Congress, unless so passed or agreed to by a vote of at least two-thirds of the Members of such House voting. Requires the Government Accountability Office (GAO) to review and report to Congress on the questions proposed to be included in the 2010 census and the American Community Survey. Prohibits any officer, employee, or other person from seeking answers to any questions relating to any household or any member of such household from any person who is not a member of such household.",14.606,22.153,27.373,10.688,14.197,25.137,191,90,15,307,43,14,108,4,933,942.18,813.652,929.388,0
41,"Electronic Campaign Disclosure Act of 1998 - Amends the Federal Election Campaign Act of 1971 (FECA) to require the Federal Election Commission to:  (1) establish a specified public Internet site not later than January 1, 1999; (2) permit persons required to file reports under FECA to file such reports by directly posting them on the Internet site or by filing them electronically to enable the Commission to post reports on such site immediately upon receipt; (3) provide for one or more methods (other than requiring a signature on the reports being filed) for verification of reports filed in accordance with the methods described in the preceding; (4) require a person to file a report in accordance with the methods described during an election cycle if the aggregate amount of contributions and expenditures reported previously by the person during the cycle exceeds $25,000; and (5) obtain and provide for computer software required to carry out this Act through competitive bidding. 
Requires that if a political committee is required to file reports electronically during an election cycle, the committee shall file a report listing each contribution of $100 or more received by the committee not later than ten days after receipt and include the contributor's identification, the date of receipt and the contribution amount, and (in the case of a candidate's authorized committee) the candidate's name and the office sought by the candidate. 
Expands the types of contributions required to be reported by principal campaign committees subject to the mandatory electronic reporting requirements under this Act and changes the deadline for reporting such contributions by any authorized committee of a candidate.",-0.828,30.516,36.441,12.774,14.13,37.388,305,124,29,449,61,20,128,4,1454,1504.36,1148.236,1354.358,0,"Electronic Campaign Disclosure Act of 1998 - Amends the Federal Election Campaign Act of 1971 (FECA) to direct the Federal Election Commission (Commission) to establish a public Internet site with specified features by January 1, 1999, with the following features: (1) any person filing a report required by FECA may post the report directly on the site; (2) any member of the public may obtain the reports posted on the site (together with any other information the Commission may make available through the site) at any time; and (3) any information in a report posted on the site shall be subject to the same prohibition on sale and use as information from a report or statement. <n>Directs the Commission to: (1) permit each person required to file a report under FECA to file it directly on the Internet site, or by filing it by such electronic method as the Commission may designate to enable it to post the report on such site immediately upon receipt; and (2) require a person to file a report in accordance with such specified methods during an election cycle if the aggregate amount of contributions or expenditures reported previously by the person during the cycle exceeds $25,000. <n>Directs the Commission to provide for one or more methods (other than requiring a signature on the report being filed) for verification of reports filed in",19.834,25.026,31.092,9.033,11.235,29.881,263,110,29,353,45,10,106,4,1125,1170.3,913.648,1178.031,0
43,"Prepaid Card Consumer Protection Act of 2010 - Amends the Electronic Fund Transfer Act to extend its coverage to spending card accounts (prepaid cards) established by a consumer (or on a consumer's behalf): (1) to which recurring electronic fund transfers may be made, at the consumer's direction, and (2) from which payments may be made, at the consumer's direction, through the use of a card, code, or device. Treats as a spending card account any similar asset account operated or managed by a financial institution, or any other person, whose funds: (1) are pooled with the funds of a person other than the one who established the account, or (2) are held in a name other than that of the person who established the account.

Excludes from the meaning of spending card account: (1) any nonreloadable general-use prepaid card in an amount under $250; and (2) any general-use prepaid card solely associated with a certain kind of health plan, a qualified transportation fringe, a health savings account or any other healthcare benefit account, a gift certificate, a store gift card, an electronic promise, plastic card, or payment code, or device, a nonreloadable card labeled as a gift card and marketed solely as such, or a nonreloadable loyalty, rebate, or promotional card.

Requires a financial institution to offer electronic fund transfer services in connection with a spending card account only if the account is insured under the Federal Deposit Insurance Act and complies with its pass-through deposit insurance requirements.

Requires any person that accepts funds in connection with an electronic fund transfer to a spending card account to: (1) transfer them, within 24 hours after accepting them, to an account at an insured depository institution; or (2) credit the spending card account an amount equal to the amount of such funds.

Waives the requirement for providing a consumer with a periodic statement if a financial institution, among other things, provides the consumer with access to the account balance through a readily available telephone line and the Internet and at an electronic terminal or other device (ATM machine) that allows the consumer to make a balance inquiry. Prohibits the charging of fees for services required to meet these requirements, other than $1 for an optional periodic statement.

Specifies other fees which may and may not be charged in connection with a spending account card.",14.235,25.612,31.304,10.796,12.49,30.499,469,184,65,640,83,25,163,7,2045,2178.66,1796.832,2010.686,0,"Prepaid Card Consumer Protection Act of 2010 - Amends the Electronic Fund Transfer Act to define account"" to mean: (1) a demand deposit, savings deposit, or other asset account (other than an occasional or incidental credit balance in an open end credit plan) established primarily for personal, family, or household purposes, including a payroll card account; and (2) a spending card account. Excludes from such definition an account held by a financial institution pursuant to a bona fide trust agreement. (Current law refers to an account held by a financial institution pursuant to a bona fide trust agreement.) Defines ""spending card account"" to mean: (1) an asset account established by a consumer (or on behalf of a consumer) for use primarily for personal, family, or household purposes, including a payroll card account; and (2) an asset account operated or managed by a financial institution, or any other person, that: (1) is pooled with the funds of a person other than the person who established the account; or (2) is held in a name other than that of the person who established the account. Excludes from such definition: (1) a nonreloadable general-use prepaid card in an amount under $250; (2) a general-use prepaid card solely associated with a certain kind of health plan""",22.657,20.732,25.531,10.534,11.782,22.618,265,85,51,356,45,17,99,5,1080,1152.34,888.65,1064.426,0
