summary_clean,summary_tag
"Fair Telephone Billing Act of 2012 - Amends the Communications Act of 1934 to prohibit local exchange carriers or providers of interconnected VoIP (Voice over Internet Protocol) service from placing a third-party charge that is not directly related to the provision of telephone services on the bill of a customer, unless the third-party charge is: (1) from a certified third-party vendor, (2) for a product or service that the carrier or provider markets or sells jointly with its own service, and (3) consented to and believed to be requested by the customer.Defines a ""third-party charge"" as a charge for a product or service not provided by a local exchange carrier or a provider of interconnected VoIP service that is included on a bill for the services the local exchange carrier or provider of interconnected VoIP service offers to its customers.Subjects violators to civil forfeiture and specified penalties.Directs the Federal Communications Commission (FCC) to promulgate rules to: (1) ensure that a provider of wireless services gives each customer the means to avoid receiving third-party charges on the wireless customer's wireless bill and discloses such an option clearly and conspicuously, (2) establish procedures for such a provider to ensure that third-party charges have been authorized by the wireless customer; and (3) enable a wireless customer to seek and receive reimbursement from the provider for any unauthorized third-party charges.","[{'label': 'NAN', 'score': 'NAN'}, {'label': 'specifically,', 'score': 0.1529688686132431}, {'label': 'generally,', 'score': 0.1346748173236847}, {'label': 'NAN', 'score': 'NAN'}]"
". Women's Procurement Program Equalization Act of 2013 - Amends the Small Business Act with respect to the procurement program for women-owned small businesses (providing a federal procurement contracting preference to such businesses) to condition a government contracting officer's authority to restrict competition for any such federal contract upon the Administrator of the Small Business Administration (SBA) certifying each of the businesses as a small business concern owned and controlled by women. (Currently, the small business concerns themselves certify to the contracting officer that they are such a business according to SBA standards.) Allows a contracting officer to award a sole source contract to any economically disadvantaged women-owned small business if: (1) the small business is determined to be responsible and the contracting officer does not expect two or more of such businesses to submit offers; (2) the anticipated contract price will not exceed $6.5 million in the case of a manufacturing contract, or $4 million in the case of all other contracts; and (3) the contract can be made at a fair and reasonable price. Provides identical contracting authority for women-owned small businesses in substantially underrepresented industries. Expands the reporting requirements with respect to small business procurement contracts to require federal agencies to submit annual reports to the Administrator regarding such sole source contracts as well as the industries within which various contracts were awarded.","[{'label': 'arguably,', 'score': 0.06450679898262024}, {'label': 'specifically,', 'score': 0.4342348873615265}, {'label': 'further,', 'score': 0.1125284880399704}, {'label': 'specifically,', 'score': 0.4689979553222656}, {'label': 'specifically,', 'score': 0.32980915904045105}, {'label': 'specifically,', 'score': 0.6532237529754639}]"
"Digital Consumer Right to Know Act - Directs the Federal Trade Commission (FTC) to issue rules to implement requirements that a producer or distributor of copyrighted digital content disclose the nature of restrictions that limit the practical ability of the content purchaser to play, copy, transmit, or transfer such content on, to, or between devices commonly used with respect to that type of content. Requires such disclosure in the case of limitations on: (1) the recording for later viewing or listening of certain audio or video programming; (2) the reasonable and noncommercial use of legally acquired audio or video content; (3) making backup copies of legally acquired content subject to accidental damage, erasure, or destruction; (4) using limited excerpts of legally acquired content; and (5) engaging in the secondhand transfer or sale of legally acquired content. Provides disclosure exceptions. Requires the FTC to annually review the effectiveness of such rules.Expresses the sense of Congress that: (1) competition among distribution outlets and methods generally benefits consumers; and (2) copyright holders selling digital content in electronic form for distribution over the Internet should offer to license such content to multiple unaffiliated distributors.","[{'label': 'specifically,', 'score': 0.7269106507301331}, {'label': '[no-conn]', 'score': 0.2873554527759552}, {'label': '[no-conn]', 'score': 0.11147493124008179}, {'label': 'further,', 'score': 0.22703561186790466}, {'label': 'accordingly', 'score': 0.2341243028640747}]"
"Fort Peck Reservation Rural Water System Act of 1997 - Directs the Secretary of the Interior to plan, design, construct (including replacement of structures and equipment), operate, maintain, and replace the Fort Peck Reservation Rural Water System (Water System). Directs the Secretary to enter into a cooperative agreement with the Fort Peck Tribal Executive Board regarding the Water System. Provides that title to the Water System be held in trust by the United States for the Fort Peck Tribes and not be transferred unless a transfer is authorized by an Act of Congress enacted after the enactment of this Act. Limits the availability of construction funds for the construction of the Water System until certain requirements are met. Directs the Water System to use power from the Pick-Sloan Missouri Basin Program for operation. Considers use of the power to be a project use pumping requirement of Pick-Sloan. Directs the Secretary to enter into a cooperative agreement with appropriate non-Federal entities to provide Federal funds for the planning, design, and construction of the Roosevelt, Sheridan, Daniels, and Valley Counties Water System (Counties System), Montana, outside the Fort Peck Indian Reservation. Limits the Federal share to 75 percent. Requires cooperative agreement concurrence by the Water System Board. Authorizes the Secretary to: (1) interconnect the Counties System with the Water System; and (2) provide for the delivery of water to the Counties System, without charge, from the Missouri River through the Water System. Prohibits Federal funds from being used for operation and maintenance expenses associated with water deliveries to the Counties System. Authorizes appropriations.","[{'label': '[no-conn]', 'score': 0.6468760967254639}, {'label': 'specifically,', 'score': 0.16192840039730072}, {'label': 'further,', 'score': 0.1992080956697464}, {'label': '[no-conn]', 'score': 0.4818519055843353}, {'label': '[no-conn]', 'score': 0.16594748198986053}, {'label': 'additionally', 'score': 0.07418978214263916}, {'label': 'specifically,', 'score': 0.2382391393184662}, {'label': 'nationally,', 'score': 0.06130592152476311}, {'label': '[no-conn]', 'score': 0.42713406682014465}, {'label': 'further,', 'score': 0.159762442111969}, {'label': 'specifically,', 'score': 0.1921754628419876}, {'label': '[no-conn]', 'score': 0.08570857346057892}]"
American Burying Beetle Relief Act of 2014 - Removes the United States Fish and Wildlife Service's listing of the American burying beetle as an endangered species under the Endangered Species Act. Prohibits the beetle from being listed as a threatened or endangered species.,"[{'label': 'additionally', 'score': 0.26195186376571655}, {'label': '[no-conn]', 'score': 0.23873047530651093}]"
"Net Price Calculator Improvement Act - Amends the Higher Education Act of 1965 to establish the minimum requirements for the net price calculator that each institution of higher education (IHE) receiving federal funds under title IV (Student Assistance) of the Act must include on its website. (An IHE's ""net price"" is the average yearly price actually charged to first-time, full-time undergraduate students receiving student aid at the school after deducting such aid.) Requires the link for the calculator to be clearly labeled and conspicuously posted on an IHE's website. Requires each calculator's results page to include: the individual net price of attending the IHE (the individual net price is calculated like the net price but takes into account the cost of attendance for, and aid available to, the individual student to the extent practicable); the cost of attending the IHE; the estimated total need- and merit-based grant aid from federal, state, and institutional sources that may be available to the individual student; the percentage of such students enrolled at the school who receive any of that grant aid; and a notice that an estimate of an individual's net price is non-binding and subject to change. Requires calculators that estimate a user's eligibility for veterans' education benefits or educational benefits for active duty service members to clearly distinguish those benefits from other grant-aid. Requires calculators that do not make such estimates to provide users with notice of, and a link to information concerning, those benefits. Directs IHEs to populate their calculators with data from not earlier than two academic years prior to the most recent academic year. Requires the calculators to: (1) clearly indicate which questions need to be completed for a net price estimate, (2) clearly mark requests for contact information as optional, (3) prohibit personally identifiable information from being sold or made available to third parties, and (4) clearly state that any information a user provides is confidential and that the calculator does not store responses or require personal identifying information. Authorizes the Secretary of Education to develop a universal net price calculator that enables users to answer one set of questions and receive net prices for any IHE that is required to have a net price calculator.","[{'label': 'additionally', 'score': 0.2932398021221161}, {'label': 'by_contrast,', 'score': 0.1445634514093399}, {'label': 'additionally', 'score': 0.3011120557785034}, {'label': 'NAN', 'score': 'NAN'}, {'label': 'additionally', 'score': 0.24015699326992035}, {'label': 'additionally', 'score': 0.15553171932697296}, {'label': 'specifically,', 'score': 0.12725763022899628}, {'label': 'additionally', 'score': 0.38626015186309814}, {'label': 'specifically,', 'score': 0.2087821066379547}]"
Sets forth the tax and estate tax treatment of designated beneficiaries and contributors.,"[{'label': 'specifically,', 'score': 0.22802120447158813}]"
"Amends federal monetary law relating to reduction of a tax refund by the amount of a tax debt to establish a pilot program during 2009 and 2010 for the collection of past-due legally enforceable local government tax obligations.Instructs the Secretary of the Treasury, upon receiving notice from any eligible state on behalf of a local government that a named person owes such local government a past-due, legally enforceable tax obligation, to: (1) reduce the federal tax refunds payable to such person by the amount of such debt; (2) pay the amount of such reduction to the state for payment to the affected local government; (3) notify the state of the person's name, taxpayer identification number, address, and the amount collected; and (4) notify the person due the refund that it has been reduced by an amount necessary to satisfy a past-due, legally enforceable tax obligation.Requires the Secretary to select between three and five states to participate in the pilot program, including from among: (1) Illinois; (2) Iowa; (3) Louisiana; (4) New York; (5) Ohio; and (6) Virginia.Amends the Internal Revenue Code to permit disclosure of taxpayer information to agencies of states requesting refund offsets for tax debts owed to local governments.","[{'label': 'specifically,', 'score': 0.17623305320739746}, {'label': 'NAN', 'score': 'NAN'}, {'label': 'specifically,', 'score': 0.3047674298286438}, {'label': 'specifically,', 'score': 0.22202149033546448}]"
"401Kids Family Savings Act of 2013 - Amends the Internal Revenue Code to: (1) rename Coverdell education savings accounts as 401Kids savings accounts, (2) allow the use of such accounts to pay the acquisition costs of a first-time homebuyer, and (3) allow tax-free rollovers of amounts in a 401Kids savings account to a Roth individual retirement account (Roth IRA). ","[{'label': 'specifically,', 'score': 0.27068713307380676}]"
"Directs the Secretary of Defense to list, and publish in the Federal Register, persons who are Communist Chinese military companies operating directly or indirectly in the United States or any of its territories and possessions. Authorizes the President to exercise authorities under the International Emergency Economic Powers Act (except those relating to importation) to regulate, prohibit, or penalize certain transactions involving foreign currency, transfers of credit, or property with respect to any activities of such companies in the United States.","[{'label': 'further,', 'score': 0.16889826953411102}, {'label': 'specifically,', 'score': 0.4499323070049286}]"
